id,cross,Shed.1,Shed.2,Shed.3,Shed.4,sum,average,PO,Hb,sex,parent_cross
F1B_51,F1B,433.333333333333,633.333333333333,1300,1066.66666666667,3433.33333333334,858.333333333334,NA,NA,m,NA
F1B_52,F1B,1300,800,1166.66666666667,NA,3266.66666666667,1088.88888888889,NA,NA,f,NA
F1B_53,F1B,400,NA,NA,NA,400,400,NA,NA,m,NA
F1B_54,F1B,1466.66666666667,1000,1733.33333333333,666.666666666667,4866.66666666667,1216.66666666667,NA,NA,f,NA
F1B_55,F1B,2166.66666666667,1166.66666666667,1266.66666666667,800,5400.00000000001,1350,1.749,0.4167,m,NA
F1B_56,F1B,1466.66666666667,1966.66666666667,1333.33333333333,933.333333333333,5700,1425,1.7618,0.4894,m,NA
F1B_57,F1B,733.333333333333,1533.33333333333,1166.66666666667,NA,3433.33333333333,1144.44444444444,NA,NA,f,NA
F1B_58,F1B,1933.33333333333,2366.66666666667,1633.33333333333,100,6033.33333333333,1508.33333333333,NA,NA,m,NA
F1B_59,F1B,1600,1500,2066.66666666667,1100,6266.66666666667,1566.66666666667,NA,NA,f,NA
F1B_60,F1B,666.666666666667,1166.66666666667,933.333333333333,NA,2766.66666666667,922.222222222223,NA,NA,m,NA
F1B_61,F1B,533.333333333333,400,100,NA,1033.33333333333,344.444444444444,NA,NA,f,NA
F1B_62,F1B,1166.66666666667,933.333333333333,133.333333333333,NA,2233.33333333334,744.444444444445,NA,NA,m,NA
F1B_63,F1B,1100,1366.66666666667,566.666666666667,NA,3033.33333333334,1011.11111111111,NA,NA,m,NA
F1B_64,F1B,2366.66666666667,NA,NA,NA,2366.66666666667,2366.66666666667,NA,NA,f,NA
F1B_65,F1B,2266.66666666667,1333.33333333333,NA,NA,3600,1800,NA,NA,f,NA
F1B_66,F1B,1133.33333333333,2000,1033.33333333333,1133.33333333333,5299.99999999999,1325,2.0628,0.7257,m,NA
F1B_67,F1B,3700,1400,2633.33333333333,933.333333333333,8666.66666666666,2166.66666666667,NA,NA,f,NA
F1B_68,F1B,2100,2200,1700,NA,6000,2000,NA,NA,f,NA
F1B_69,F1B,1466.66666666667,1800,NA,NA,3266.66666666667,1633.33333333333,NA,NA,m,NA
F1B_70,F1B,2033.33333333333,1666.66666666667,1300,NA,5000,1666.66666666667,NA,NA,m,NA
F1B_71,F1B,1366.66666666667,1800,1966.66666666667,1633.33333333333,6766.66666666667,1691.66666666667,2.4141,0.4273,f,NA
F1B_72,F1B,1633.33333333333,866.666666666667,1100,NA,3600,1200,NA,NA,m,NA
F1B_73,F1B,2933.33333333333,1700,2600,2300,9533.33333333333,2383.33333333333,1.8855,0.6939,m,NA
F1B_74,F1B,2100,166.666666666667,600,NA,2866.66666666667,955.555555555556,NA,NA,m,NA
F1B_75,F1B,2300,1633.33333333333,NA,NA,3933.33333333333,1966.66666666667,NA,NA,f,NA
F1B_76,F1B,2000,2633.33333333333,966.666666666667,NA,5600,1866.66666666667,NA,NA,m,NA
F1B_77,F1B,1933.33333333333,1933.33333333333,2000,NA,5866.66666666666,1955.55555555555,NA,NA,f,NA
F1B_78,F1B,1466.66666666667,1900,100,NA,3466.66666666667,1155.55555555556,NA,NA,m,NA
F1B_79,F1B,1200,1033.33333333333,833.333333333333,NA,3066.66666666666,1022.22222222222,NA,NA,m,NA
F1B_80,F1B,966.666666666667,833.333333333333,NA,NA,1800,900,NA,NA,m,NA
F1B_81,F1B,1500,2100,1533.33333333333,NA,5133.33333333333,1711.11111111111,NA,NA,f,NA
F1B_82,F1B,1700,1700,1666.66666666667,NA,5066.66666666667,1688.88888888889,NA,NA,m,NA
F1B_83,F1B,1666.66666666667,2133.33333333333,1466.66666666667,400,5666.66666666667,1416.66666666667,2.2288,0.9003,m,NA
F1B_84,F1B,1733.33333333333,366.666666666667,266.666666666667,NA,2366.66666666666,788.888888888888,NA,NA,f,NA
F1B_85,F1B,600,2333.33333333333,2133.33333333333,1766.66666666667,6833.33333333333,1708.33333333333,1.8299,0.5631,f,NA
F1B_86,F1B,2066.66666666667,1600,1366.66666666667,200,5233.33333333334,1308.33333333334,NA,NA,m,NA
F1B_87,F1B,366.666666666667,1866.66666666667,933.333333333333,1033.33333333333,4200,1050,NA,NA,m,NA
F1B_88,F1B,1766.66666666667,2333.33333333333,2133.33333333333,1266.66666666667,7500,1875,2.0324,0.809,f,NA
F1B_89,F1B,1933.33333333333,1533.33333333333,2833.33333333333,NA,6299.99999999999,2100,NA,NA,f,NA
F1B_90,F1B,2266.66666666667,1500,2633.33333333333,NA,6400,2133.33333333333,NA,NA,f,NA
F1B_91,F1B,1533.33333333333,966.666666666667,2166.66666666667,NA,4666.66666666667,1555.55555555556,NA,NA,m,NA
F1B_92,F1B,800,1466.66666666667,1466.66666666667,NA,3733.33333333334,1244.44444444445,NA,NA,f,NA
F1B_93,F1B,1366.66666666667,3966.66666666667,1566.66666666667,NA,6900.00000000001,2300,NA,NA,m,NA
F1B_94,F1B,2233.33333333333,3666.66666666667,2000,666.666666666667,8566.66666666667,2141.66666666667,NA,NA,m,NA
F1B_95,F1B,3500,1066.66666666667,2300,2533.33333333333,9400,2350,2.1086,0.6833,m,NA
F1B_96,F1B,2266.66666666667,3166.66666666667,1066.66666666667,1800,8300.00000000001,2075,1.9183,0.6288,f,NA
F1B_97,F1B,1100,1633.33333333333,1133.33333333333,NA,3866.66666666666,1288.88888888889,NA,NA,m,NA
F1B_98,F1B,233.333333333333,966.666666666667,866.666666666667,NA,2066.66666666667,688.888888888889,NA,NA,f,NA
F1B_99,F1B,2400,2600,1533.33333333333,1400,7933.33333333333,1983.33333333333,1.8804,0.8822,m,NA
